product_id,periodo,tn,
20001,2017-01,934.77222,
20001,2017-02,798.0162,
20001,2017-03,1303.35771,
20001,2017-04,1069.9613,
20001,2017-05,1502.20132,
20001,2017-06,1520.06539,
20001,2017-07,1030.67391,
20001,2017-08,1267.39462,
20001,2017-09,1316.94604,
20001,2017-10,1439.75563,
20001,2017-11,1580.47401,
20001,2017-12,1049.3886,
20001,2018-01,1169.07532,
20001,2018-02,1043.7647,1%
20001,2018-03,1856.83534,
20001,2018-04,1251.28462,
20001,2018-05,1293.89788,
20001,2018-06,1150.79169,
20001,2018-07,1470.41009,
20001,2018-08,1800.96168,
20001,2018-09,1438.67455,
20001,2018-10,2295.19832,
20001,2018-11,1813.01511,
20001,2018-12,1486.68669,
20001,2019-01,1275.77351,
20001,2019-02,1259.09363,15%
20001,2019-03,1470.65653,
20001,2019-04,1647.63848,
20001,2019-05,1629.78233,
20001,2019-06,1109.93769,
20001,2019-07,1678.99318,
20001,2019-08,1261.34529,
20001,2019-09,1660.00561,
20001,2019-10,1561.50552,
20001,2019-11,1397.37231,
20001,2019-12,1504.68856,0.93
20001,2020-01,,
20001,2020-02,1450,
